sample_id,target_snr_db,metadata_measured_snr_db,waveform_input_snr_db,waveform_output_snr_db,waveform_snr_improvement_db,input_si_snr_db,output_si_snr_db,si_snr_improvement_db,input_stoi,output_stoi,stoi_improvement,stoi_skip_reason,input_pesq,output_pesq,pesq_improvement,pesq_skip_reason,noise_category,max_amplitude_enhanced,rms_enhanced,rms_ratio_enhanced_over_clean,clipped_for_wav,clipping_pct
S0314,0.0,0.0,5.794018385580829,11.70941723315692,5.915398847576091,5.870898246765137,11.501457214355469,5.630558967590332,0.8282355744430191,0.8575931068360003,0.029357532392981223,,1.2283670902252197,1.58249032497406,0.35412323474884033,,wind,0.4654691517353058,0.06114199757575989,1.0033784060375945,False,0.0
S0324,0.0,0.0,3.404307308527264,12.779855250017157,9.375547941489893,3.4000768661499023,12.688349723815918,9.288272857666016,0.8495841282137738,0.8589065169320605,0.009322388718286723,,1.3209004402160645,1.5289454460144043,0.20804500579833984,,wind,0.3264455497264862,0.05050636827945709,1.0144719215395592,False,0.0
S0326,0.0,0.0,1.8447335589336995,8.356496667178687,6.511763108244988,0.031078536063432693,9.93805980682373,9.906981270760298,0.7660482369664924,0.7766466938931642,0.010598456926671829,,1.2355045080184937,1.319624423980713,0.08411991596221924,,wind,0.7727274894714355,0.09655549377202988,0.7206702757981964,False,0.0
S0332,0.0,-0.0,1.4416085528354838,6.101255561673108,4.6596470088376245,-0.6001647710800171,5.245722770690918,5.845887541770935,0.7000287031751661,0.6628591118791046,-0.037169591296061455,,1.2582627534866333,1.2608548402786255,0.0025920867919921875,,wind,0.6138415932655334,0.1179819256067276,0.7536904749164429,False,0.0
S0340,5.0,5.0,1.273459364838653,7.469815355259833,6.19635599042118,1.0664098262786865,6.647619724273682,5.581209897994995,0.5837611941745849,0.6709425653456674,0.08718137117108249,,1.1634899377822876,1.2206532955169678,0.057163357734680176,,armored_vehicle,0.5673815608024597,0.07759061455726624,0.940620615965616,False,0.0
S0342,5.0,5.0,0.6950414251867876,4.500341284253151,3.8052998590663636,1.0267307758331299,2.615123748779297,1.588392972946167,0.7623249519999817,0.6290858605067652,-0.13323909149321655,,1.272281289100647,1.1061302423477173,-0.1661510467529297,,armored_vehicle,0.026619354262948036,0.003005941631272435,0.8344273495306167,False,0.0
S0356,5.0,5.0,12.57752363565654,16.506218831358588,3.9286951957020477,12.56353759765625,16.495038986206055,3.9315013885498047,0.9210940240267768,0.927344001581404,0.006249977554627195,,1.51678466796875,1.4546105861663818,-0.062174081802368164,,armored_vehicle,0.4161943197250366,0.07966805249452591,1.0097261853799167,False,0.0
S0370,5.0,5.0,7.166657469607185,14.311158430395341,7.144500960788156,7.186532974243164,14.182458877563477,6.9959259033203125,0.8362493077769668,0.8961513235853641,0.05990201580839727,,2.119549512863159,2.141172409057617,0.021622896194458008,,artillery,0.49585047364234924,0.05082434043288231,0.9984425880432085,False,0.0
S0377,5.0,5.0,8.111608304269343,8.262595669372534,0.150987365103191,8.185070991516113,8.11475944519043,-0.0703115463256836,0.9041024330446976,0.8892159375171828,-0.014886495527514865,,1.6243807077407837,1.590165376663208,-0.034215331077575684,,artillery,0.24138283729553223,0.03624901548027992,1.0544334874172567,False,0.0
S0389,5.0,5.0,5.912534758454308,8.164614308821896,2.252079550367588,5.928474426269531,7.853858470916748,1.9253840446472168,0.9109226100759161,0.8747961702941041,-0.03612643978181207,,1.1762332916259766,1.229947805404663,0.05371451377868652,,drone,0.2290463000535965,0.04044751450419426,1.035369084687348,False,0.0
