sample_id,target_snr_db,metadata_measured_snr_db,waveform_input_snr_db,waveform_output_snr_db,waveform_snr_improvement_db,input_si_snr_db,output_si_snr_db,si_snr_improvement_db,input_stoi,output_stoi,stoi_improvement,stoi_skip_reason,input_pesq,output_pesq,pesq_improvement,pesq_skip_reason,noise_category,max_amplitude_enhanced,rms_enhanced,rms_ratio_enhanced_over_clean,clipped_for_wav
S0578,10.0,10.0,9.60968114930871,-5.181589762552593,-14.791270911861304,9.591694831848145,12.11046028137207,2.518765449523926,0.9429748062348143,0.9539561321602309,0.010981325925416563,,1.6783442497253418,2.095297336578369,0.41695308685302734,,siren,0.4644003212451935,0.0850890651345253,0.8292282744890888,False
S0581,10.0,10.0,11.500965650999081,-4.813944091662977,-16.31490974266206,11.208325386047363,13.34216594696045,2.133840560913086,0.8948266010484347,0.9227526048759784,0.027926003827543733,,1.8744020462036133,2.234647512435913,0.3602454662322998,,siren,0.7852773666381836,0.15492311120033264,0.7502149792654887,False
S0591,10.0,10.0,13.828977504495676,-5.036017812691316,-18.86499531718699,13.649642944335938,19.757230758666992,6.107587814331055,0.9000862127943848,0.8405051542606496,-0.05958105853373519,,2.1767687797546387,2.505164861679077,0.3283960819244385,,siren,0.7866502404212952,0.10867074877023697,0.7879833883970705,False
S0605,10.0,10.0,10.251012292217093,-5.234400570001625,-15.485412862218718,10.276516914367676,16.028566360473633,5.752049446105957,0.7065317105822942,0.7980461248001905,0.0915144142178963,,1.4050241708755493,1.8260972499847412,0.4210730791091919,,gunshot,0.4328613877296448,0.06568831205368042,0.8324952546961704,False
S0611,10.0,10.0,7.437216387655185,-5.136377085340205,-12.57359347299539,7.3816423416137695,16.134693145751953,8.753050804138184,0.9675154901072786,0.9747573251211723,0.007241835013893749,,2.1688809394836426,2.045851469039917,-0.12302947044372559,,gunshot,0.4059658646583557,0.053289078176021576,0.8117874071194471,False
S0623,10.0,10.0,11.67937179989413,-5.266733994580932,-16.94610579447506,11.718456268310547,13.761903762817383,2.043447494506836,0.9482166387008168,0.9610459322352322,0.01282929353441531,,1.362945795059204,1.5361177921295166,0.1731719970703125,,helicopter,0.5070394277572632,0.05043007433414459,0.8430851944871137,False
S0624,10.0,10.0,12.017799247790986,-5.173267497135821,-17.191066744926808,11.99431324005127,18.5477294921875,6.5534162521362305,0.9910292554266046,0.9879362764481211,-0.003092978978483485,,2.9908528327941895,2.734968662261963,-0.25588417053222656,,helicopter,0.48524415493011475,0.07855668663978577,0.8172240765132553,False
S0626,10.0,10.0,7.528243485757542,-4.9744156759584355,-12.502659161715979,7.495439529418945,16.109683990478516,8.61424446105957,0.9718908832219081,0.9657115656848008,-0.006179317537107321,,1.385762333869934,1.546143889427185,0.16038155555725098,,helicopter,0.6508608460426331,0.10374992340803146,0.7783252324563712,False
S0632,10.0,10.0,11.18600487084768,-5.1482473543018905,-16.33425222514957,11.184430122375488,13.240596771240234,2.056166648864746,0.9050924113952618,0.9039258263170437,-0.0011665850782180964,,1.6217460632324219,1.799140214920044,0.17739415168762207,,helicopter,0.7423560619354248,0.13228753209114075,0.8192355021508299,False
S0638,10.0,10.0,21.642152813408842,-5.2438253741245955,-26.88597818753344,21.63409996032715,21.881296157836914,0.24719619750976562,0.9479991865915731,0.953474092698766,0.005474906107192923,,2.1499361991882324,2.5496034622192383,0.39966726303100586,,helicopter,0.4296713173389435,0.06764592230319977,0.830369906906942,False
